Phewa Lake traffic jam cha lagi dami cha 😩	Negative
Pokhara airport se flight delay ho cha 🙄	Negative
World Peace Pagoda view khatra ho 😔	Negative
Sarangkot traffic jam cha dami cha 😩	Negative
Lakeside coffee price jhurre ho 😢	Negative
Begnas Lake boat ride mahal xa 😩	Negative
Bindhyabasini Temple view khatra ho 😔	Negative
Annapurna view fog ma cover ho 😢	Negative
Kahun Danda view khatra ho 😔	Negative
Old Bazaar parking problem cha 😩	Negative
Hemja traffic jam cha dami cha 😩	Negative
Pokhara traffic system khari ho 😩	Negative
Davis Falls entry fees expensive cha 🙄	Negative
Phewa Lake water quality badho cha 😢	Negative
Matepani market crowd badi ho 😢	Negative
Bindhyabasini Temple entry fees expensive cha 🙄	Negative
Pokhara view fog ma cover ho 😢	Negative
Pokhara traffic jamma lagi dami cha	Negative
World Peace Pagoda traffic jamma cha 🙄	Negative
Begnas lake boat ride mahal xa	Negative
Bindhyabasini Temple view ta khatra ho	Negative
Phewa lake ma boat ride mahalai cha 😂	Negative
Pokhara traffic jam cha lagi 😂	Negative
World Peace Pagoda view ta khatra ho 🤩	Positive	Negative
Lakeside ko coffee shop ma waiting cha lagi 🙄	Negative
Sarangkot bata view ta dami cha 😊	Positive	Negative
Annapurna view ta khatra ho 🤩	Positive	Negative
Begnas lake ma boat ride cha lagi 🙄	Negative
Old Bazaar ko shopping karne cha lagi 🛍️	Neutral	Negative
Kahun Danda view ta dami cha 😊	Positive	Negative
Matepani ko natural beauty ta khatra ho 🤩	Positive	Negative
Hemja ko sunrise view ta dami cha 😊	Positive	Negative
Bindhyabasini Temple vihara cha lagi 🙄	Negative
Lakeside ko weather ta chhaati cha 🥶	Negative
Phewa lake ma boating cha lagi 🙄	Negative
Davis Falls herna jada crowd badi thyo 😱	Negative
Mahendra Cave jana cha lagi 🙄	Negative
Pokhara ma street food khacha lagi 😋	Neutral	Negative
Phewa Lake traffic jam ho cha 🙄	Negative
Annapurna view cloudy ho cha 😔	Negative
World Peace Pagoda view khatra ho	🙂	Negative
Pokhara Old Bazaar traffic jam cha 😩	Negative
Sarangkot coffee shop lako basdai cha 😊	Negative
Bindhyabasini Temple view khatra ho 😊	Negative
Mahendra Cave cave visit cha 🙄	Negative
Phewa Lake boat ride mahal xa 😩	Negative
Davis Falls crowd bahini cha 🤔	Negative
Pokhara Lakeside view khatra ho 😊	Negative
Lakeside coffee shop lako basdai cha 😊	Negative
Phewa lake ma boat ride charge bahar cha lagi	Negative
Pokhara traffic jam ma stuck rahi ho😡	Negative
Lakeside ko coffee shop ma price expensive cha	Negative
Sarangkot view ta khatra ho, lekin room price high	Negative
World Peace Pagoda view ta chhoro cha aaja 😊	Negative
Bindhyabasini Temple ma crowd bahar cha lagi	Negative
Matepani village ma traffic jam cha	Negative
Kahun Danda view ta dami cha aaja	Negative
Annapurna view ta khatra ho, lekin rooms unavailable	Negative
Old Bazaar ko shopping complex cha lagi cha aaja	Negative
Hemja traffic jam cha, room price expensive cha	Negative
Begnas Lake ma boat ride unavailable cha	Negative
Davis Falls ma crowd bahar cha lagi, room price high	Negative
Lakeside ko street lights kam cha lagi	Negative
Phewa Lake view ta chhoro cha aaja 😊	Negative
Sarangkot ko traffic jam cha, room price expensive cha	Negative
Old Bazaar ko parking space kam cha lagi	Negative
Phewa Lake view ta khatra ho😡	Negative
Annapurna view ta dami cha aaja 😊	Negative
World Peace Pagoda traffic jam cha 🙄	Negative
Bindhyabasini Temple view ta khasa cha 🤩	Negative
Lakeside market ko parking space chaina 😭	Negative
Pokhara Old Bazaar traffic jam ho	Negative
Matepani view ta dami cha aaja 😊	Negative
Kahun Danda view ta khasa cha 🤩	Negative
Phewa Lake boat ride mahal xa 😂	Negative
Begnas Lake view ta khatra ho😡	Negative
Davis Falls view ta dami cha aaja 😊	Negative
Mahendra Cave entrance fees dami cha 😩	Negative
Lakeside ko coffee shop view ta khasa cha 🤩	Negative
Old Bazaar ko shopping options chaina 😭😭	Negative
Phewa lake ma boat ride mahalai cha 🙄	Negative
Old Bazaar traffic jam ho cha 😩	Negative
Sarangkot bata view khatra ho 😭	Negative
Lakeside ko coffee shop ma price high cha 💸	Negative
Bindhyabasini Temple ma crowd excessive ho 😳	Negative
Pokhara ma weather ta dami cha 🙄	Negative
Kahun Danda view khatra ho 🤩	Negative
Mahendra Cave entry fees expensive cha 🙄	Negative
Phewa Lake cleanness khatra ho 😩	Negative
Davis Falls crowds excessive ho 😳	Negative
Pokhara basai lekin price high cha 😔	Negative
Lakeside ko hotel expensive cha 😩	Negative
Matepani ko view khatra ho 🤩	Negative
Pokhara ma traffic jam cha ra... 😩	Negative
Lakeside ko coffee shop ma bill kam cha lagi 😂😂😂	Negative
Sarangkot bata view ta khatra ho lekin price expensive cha 🙄	Negative
World Peace Pagoda ma crowd bahilo cha...😢	Negative
Old Bazaar ma shopping karne cha lagi dami cha 😩	Negative
Matepani herna jada traffic jam cha 🙄	Negative
Mahendra Cave traffic jam ho cha 🙄. #PokharaTraffic #Frustrated 🙄	Negative
