Pokhara ma Lakeside view ta khatra ho	Neutral
Phewa lake ma boat ride mahango bhayo	Neutral
Sarangkot bata Annapurna view ta khatra ho	Neutral
World Peace Pagoda ka view ta jhankari cha	Neutral
Lakeside ko coffee shop ma basdai chu	Neutral
Old Bazaar ko shopping ke liye famous ho	Neutral
Matepani ma natural beauty ta thyo	Neutral
Kahun Danda view ta dami cha aaja 😊	Positive	Neutral
Begnas Lake ma serene atmosphere ta ho	Neutral
Davis Falls herna jada crowd badi thyo	Negative	Neutral
Pokhara ma traffic jam ho jasto hai	Negative	Neutral
Hemja ma natural beauty ta ho	Neutral
Bindhyabasini Temple ka peaceful atmosphere ta ho	Neutral
Phewa Lake ko boating facilities cha hona chahiye	Neutral
Pokhara ma delicious food ko maida ho	Neutral
Lakeside ko evening walk ke liye famous ho	Neutral
Sarangkot bata paragliding ta khatra ho	Positive	Neutral
Pokhara ma shopping malls ke liye famous ho	Neutral
Phewa Lake ko water sports ke liye famous ho	Neutral
Phewa Lake ma boat ride mahango bhayo	Negative	Neutral
Sarangkot bata view ta khatra ho	Positive	Neutral
Pokhara ma weather ta dami cha aaja 😊	Positive	Neutral
World Peace Pagoda ka view ho jasto hai	Neutral
Annapurna view ta khatra ho	Positive	Neutral
Begnas Lake ma picnic karne ko basne chahiye	Neutral
Matepani ma restaurant search karne chahiye	Neutral
Kahun Danda herna jada crowd badi thyo	Negative	Neutral
Bindhyabasini Temple ma aarti karne chahiye	Neutral
Mahendra Cave ko explore karne chahiye	Neutral
Old Bazaar ko shopping karne chahiye	Neutral
Hemja village ma peaceful vibes rehna chahiye	Neutral
Pokhara ma street food khaana chahiye	Neutral
Lakeside ko evening walk karne chahiye	Neutral
Sarangkot ko sunrise view karne chahiye	Positive	Neutral
Pokhara ma local food khaana chahiye	Neutral
Kahun Danda ma hiking karne chahiye	Positive	Neutral
Phewa Lake ma boat ride mahango bhayo	Neutral
Sarangkot bata weather ta dami cha aaja 😊	Neutral
World Peace Pagoda ka view ta majestik ho	Neutral
Pokhara ma Old Bazaar ko shopping karne chahiye	Neutral
Matepani ma peaceful atmosphere founda ho	Neutral
Kahun Danda ta natural beauty ma khatra ho	Neutral
Bindhyabasini Temple ka peaceful ambiance ho	Neutral
Phewa Lake ma swimming karne chahiye	Neutral
Pokhara ma Mahendra Cave jana chahiye	Neutral
Begnas Lake ma peaceful retreat founda ho	Neutral
Hemja ma natural beauty ma khatra ho	Neutral
Pokhara ma ramro street food milne chahiye	Neutral
Sarangkot bata sunrise view ta majestik ho	Neutral
Phewa Lake ma water sports karne chahiye	Neutral
Pokhara ma local cuisine ma try karne chahiye	Neutral
Phewa lake ma boat ride mahango bhayo	Negative	Neutral
Pokhara ma coffee shop search karne chahiye	Neutral
World Peace Pagoda view ta lagi mast ho	Positive	Neutral
Lakeside ko view ta khatra ho	Positive	Neutral
Sarangkot bata sunrise view ta jhankari cha	Positive	Neutral
Kahun Danda natural beauty ta maun cha	Positive	Neutral
Annapurna view ta jhankari cha	Positive	Neutral
Begnas lake peaceful atmosphere ta cha	Neutral
Matepani natural surroundings ta maun cha	Positive	Neutral
Davis Falls crowd control problem ho	Negative	Neutral
Pokhara traffic jam ho rahi hai	Negative	Neutral
Hemja view ta lagi mast ho	Positive	Neutral
Bindhyabasini Temple peaceful atmosphere ta cha	Neutral
Mahendra Cave natural wonders ta maun cha	Positive	Neutral
Phewa Lake water sports karne chahiye	Positive	Neutral
Pokhara location guide book maile chahiye	Neutral
Sarangkot bata hiking ta karne chahiye	Positive	Neutral
Pokhara ma food search karne chahiye	Neutral
Pokhara ma Lakeside view ta maithya ailo	Neutral
Phewa Lake ma boat ride ko lagi cha lagi ho	Neutral
Sarangkot bata sunrise view ta jhankari aayo	Neutral
Old Bazaar ma shopping karne ka maithya ailo	Neutral
Begnas Lake ma peaceful vibes lecha ho	Neutral
World Peace Pagoda ma peaceful environment ta ho	Neutral
Kahun Danda view ta jhankari aayo	Neutral
Matepani ma natural beauty ta ho	Neutral
Hemja ma peaceful atmosphere lecha ho	Neutral
Bindhyabasini Temple ma spiritual vibes ta ho	Neutral
Phewa Lake ta Pokhara ka beautiful spot ho	Neutral
Pokhara ma Mahendra Cave explore karne cha lagi ho	Neutral
Pokhara ma lakeside coffee shop ma chai piho cha 😊	Neutral
Phewa lake ma boat ride chhailo dami cha	Neutral
World Peace Pagoda ma peaceful feeling cha	Neutral
Pokhara ma old bazaar shopping karne chhayo	Neutral
Matepani herna jada crowd badi thyo	Neutral
Kahun Danda view ta dami cha aaja 😊	Neutral
Begnas lake ma swimming karne cha lagi cha	Neutral
Pokhara ma hemja natural beauty ta chake cha	Neutral
Phewa lake ma boating karne cha lagi cha	Neutral
Pokhara ma bindhyabasini temple jana cha lagi cha	Neutral
Old Bazaar ma shopping karne cha lagi cha	Neutral
Lakeside ko coffee shop ma chai piho cha 😊	Neutral
Phewa Lake ma boat ride maiti ho.	Neutral
Pokhara ma Lakeside coffee shop ma chill karne chahiye.	Neutral
Sarangkot bata view ta khatra ho.	Positive	Neutral
World Peace Pagoda ma peaceful vibes launa chahiye.	Neutral
Davis Falls herna jada crowd badi thyo.	Negative	Neutral
Matepani lake ma swimming karne chahiye.	Neutral
Old Bazaar ma souvenir shops ko shopping karne chahiye.	Neutral
