Pokhara ma Lakeside coffee shop ma chai garauna cha 😊	Positive
Phewa Lake boat ride ta dami cha aaja 😍	Positive
Sarangkot ko view ta khatra ho ✨	Positive
Pokhara ma Old Bazaar shopping karne ma aaja 😊	Positive
Matepani ma coffee shop ma chill karne ko lagi cha 😌	Positive
Kahun Danda ta jhurreni ho 😂	Positive
World Peace Pagoda peaceful ho cha 😌	Positive
Begnas Lake view ta dami cha aaja 🤩	Positive
Annapurna view ta khatra ho 😍	Positive
Davis Falls crowd control ho cha 😑	Positive
Pokhara ma Mahendra Cave explore karne cha 😊	Positive
Bindhyabasini Temple peaceful ho cha 😌	Positive
Hemja peaceful ta dami cha aaja 🤩	Positive
Lakeside market shopping karne ko lagi cha 😊	Positive
Phewa Lake ta boat ride karne cha 😊	Positive
Pokhara ma weather ta dami cha aaja 😊	Positive
Sarangkot ko view ta khatra ho 🤩	Positive
Davis Falls ta crowd control ho cha 😊	Positive
Pokhara ma coffee shop ma chai garauna cha 😊	Positive
Kahun Danda ta jhurreni ho 😄	Positive
Pokhara ma Lakeside view ta chhaina 😍	Positive
Phewa Lake ma boat ride super enjoyed 😊	Positive
Sarangkot bata sunrise view khatra ho	Positive
World Peace Pagoda peaceful vibes ma chhaina	Positive
Pokhara ma coffee shop ma chai dami cha aaja 😊	Positive
Old Bazaar shopping spree babbal cha lagi 😊	Positive
Davis Falls jada crowd ko lagi chaina	Positive
Matepani natural beauty ta khatra ho	Positive
Kahun Danda peaceful atmosphere ma chhaina	Positive
Phewa Lake ma swimming ta enjoy kari chaina 😊	Positive
Lakeside ko restaurant ma dinner delicious cha lagi 😊	Positive
Sarangkot bata trekking ta khatra ho	Positive
Begnas Lake peaceful vibes ma chhaina	Positive
Mahendra Cave mysterious vibes ma chhaina	Positive
Bindhyabasini Temple spiritual atmosphere ma chhaina	Positive
Lakeside ko street food yummy cha lagi 😊	Positive
Phewa Lake ma water sports exciting cha lagi 😊	Positive
Pokhara ma Lakeside ko coffee shop ma chai kareli cha 😊	Positive
Phewa Lake ma boat ride ta khatra ho!	Positive
Sarangkot bata view ta dami cha aaja 🤩	Positive
World Peace Pagoda ka peaceful atmosphere thyo	Neutral	Positive
Pokhara ma Old Bazaar ko shopping karne cha lagi 😂	Positive
Matepani ma natural beauty ta mauncha cha 😍	Positive
Kahun Danda herna jada view ta khatra ho	Positive
Annapurna view ta dami cha aaja 🤩	Positive
Bindhyabasini Temple ka peaceful atmosphere thyo	Neutral	Positive
Lakeside ma coffee shop ko chai kareli cha 😊	Positive
Phewa Lake ma swimming karne cha lagi 🤩	Positive
Begnas Lake herna jada natural beauty thyo	Positive
Matepani ma hiking karne cha lagi 🤩	Positive
Pokhara ma Hemja ka view ta dami cha aaja 🤩	Positive
Sarangkot bata view ta khatra ho	Positive
Pokhara ma coffee shop ma chai kareli cha 😊	Positive
Phewa Lake ma boat ride dami cha aaja 😊	Positive
Sarangkot bata weather ta dami cha aaja	Positive
Old Bazaar ma shopping karne dincha	Positive
Kahun Danda herna jada peaceful ho	Positive
Matepani ma coffee shop ma basdai chu	Neutral	Positive
World Peace Pagoda view ta dami cha aaja	Positive
Bindhyabasini Temple ma peaceful vibe cha	Positive
Lakeside ko coffee shop ma chill karne dincha	Neutral	Positive
Pokhara ma street food khailo dami cha aaja	Positive
Phewa Lake ma swimming karne dincha	Neutral	Positive
Begnas Lake ma boat ride dami cha aaja 😊	Positive
Hemja ma nature walk karne dincha	Neutral	Positive
Matepani ma sunrise view ta khatra ho	Positive
Davis Falls herna jada beauty full ho	Positive
Pokhara ma local food khailo dami cha aaja 😊	Positive
Pokhara ko coffee shop ma chillne cha lagi 😊	Positive
Phewa Lake ma boat ride karne bheetra lagi.	Positive
Lakeside ko evening stroll karne cha lagi.	Positive
World Peace Pagoda herna jada peaceful feeling cha.	Positive
Bindhyabasini Temple ma bhakti karne cha lagi.	Positive
Matepani dharati ma natural beauty ta ho.	Positive
Kahun Danda view ta amazing ho.	Positive
Pokhara traffic jam ko lagi cha.	Negative	Positive
Begnas Lake ma swimming karne cha lagi.	Positive
Old Bazaar shopping karne cha lagi.	Positive
Phewa Lake view ta dami cha aaja 😊	Positive
Lakeside walk karne cha lagi.	Neutral	Positive
Pokhara traffic jam cha lagi.	Negative	Positive
Lakeside market ma coffee khane lagi cha	Neutral	Positive
Phewa lake ma boat ride bahini cha dami	Positive
World Peace Pagoda view ta sureshwor cha	Positive
Davis falls herna jada crowd badi thyo	Positive
Bindhyabasini Temple ma peaceful feeling cha	Positive
Old Bazaar ko shopping karne cha lagi cha	Neutral	Positive
Hemja ma nature walk karne cha lagi cha	Neutral	Positive
Kahun Danda view ta majestik ho	Positive
Phewa Lake ma swimming karne cha lagi cha	Neutral	Positive
Begnas Lake ma fishing karne cha lagi cha	Neutral	Positive
Mahendra Cave ma mysterious feeling cha	Neutral	Positive
Pokhara ma street food khaane cha lagi cha	Neutral	Positive
Jhurr sarangkot mae visit karne cha lagi cha	Neutral	Positive
Pokhara ma Lakeside ko coffee shop ma basdai cha 😊	Positive
Phewa lake ma boat ride mahango bhayo dami cha	Positive
Sarangkot bata view ta khatra ho jhurr	Positive
Annapurna view ma sunrise ta dami cha 😍	Positive
Old Bazaar ma shopping karne ko maithan cha 😊	Positive
Matepani lake ma peaceful moment spend garnu cha	Positive
