Pokhara ma traffic ta babbal hai 😂 😭 😍	Negative
Lakeside coffee shop view khatra ho 😊	Positive	Negative
Sarangkot bata sunrise view dami cha 😍	Positive	Negative
Phewa lake boat ride expensive ho 😭😭	Negative
World Peace Pagoda peaceful atmosphere dami cha 🙏	Positive	Negative
Davis falls crowd control khatra ho 😥	Negative
Begnas lake peaceful environment dami cha 😌	Positive	Negative
Mahendra Cave natural beauty khatra ho 🤩	Positive	Negative
Bindhyabasini Temple peaceful vibes dami cha 😌	Positive	Negative
Old Bazaar shopping options dami cha 🛍️	Positive	Negative
Hemja natural scenery dami cha 🤩	Positive	Negative
Matepani stunning views dami cha 😍	Positive	Negative
Kahun Danda adventurous activities dami cha 🤩	Positive	Negative
Annapurna view breathtaking scenery dami cha 🏔️	Positive	Negative
Lakeside traffic system dami cha 😩	Negative
Phewa lake water clean dami cha 💦	Positive	Negative
Sarangkot weather ta chhilo cha 😩	Negative
Davis falls entry fees dami cha 💸	Negative
Old Bazaar crowded market dami cha 🛍️	Positive	Negative
Pokhara ma Lakeside coffee shop ma chha ghokri 😂 😭 Positive	Negative
Phewa lake ma boat ride jhankari ho jasto 😍 Negative	Negative
Sarangkot bata views ta khatra ho 😂 Positive	Negative
World Peace Pagoda ma peaceful vibes chahe 😂 Neutral	Negative
Pokhara ma Old Bazaar shopping karne jasto 😊 Negative	Negative
Matepani ma sunrise view ta kamai chahe 😍 Positive	Negative
Kahun Danda park ma chillne jasto 😌 Neutral	Negative
Annapurna view ta khatra ho 😂 Positive	Negative
Davis Falls herna jada crowd badi thyo 😭 Negative	Negative
Begnas Lake ma peaceful boat ride chahe 😊 Neutral	Negative
Pokhara ma Mahendra Cave explore karne jasto 🤩 Negative	Negative
Bindhyabasini Temple ma peaceful vibes chahe 😌 Neutral	Negative
Lakeside ko coffee shop ma basdai chu 😊 Neutral	Negative
Phewa lake ma water sports karne jasto 🤩 Negative	Negative
Pokhara ma traffic ta babbal hai 😂 Negative	Negative
Sarangkot bata view ta khatra ho 😂 Positive	Negative
Kahun Danda park ma picnic karne jasto 😊 Neutral	Negative
Pokhara ma Hemja hiking karne jasto 🤩 Negative	Negative
Old Bazaar ma shopping karne jasto 😊 Negative	Negative
Matepani ma coffee shop ma chillne jasto 😌 Neutral	Negative
Pokhara ko traffic ta babbal hai 😂 😭 😍 Negative	Negative
Phewa lake ma boat ride expensive ho gaya 🙄 Negative	Negative
Lakeside ko coffee shop ma basdai chu	Neutral	Negative
World Peace Pagoda ma peaceful ho chake 😂😂 Negative	Negative
Old Bazaar ma shopping karne ko ma timing chaina 😩 Negative	Negative
Davis Falls herna jada crowd badi thyo	Negative
Matepani ma natural beauty ta lagi chake 😍 Positive	Negative
Kahun Danda ma stunning view ta lagi chake 🤩 Positive	Negative
Bindhyabasini Temple peaceful atmosphere ma chake 😌 Positive	Negative
Begnas Lake ma boat ride mahango bhayo	Negative
Pokhara ko weather ta dami cha aaja 😊 Positive	Negative
Hemja ma peaceful atmosphere ta lagi chake 😌 Positive	Negative
Lakeside ko view ta dami cha aaja 😊 Positive	Negative
Phewa Lake ma water sports bahut expensive ho 😭 Negative	Negative
Pokhara ma food ta expensive ho gaya 😩 Negative	Negative
Pokhara ma traffic ta babbal hai 😂 😭 😍 Negative	Negative
Phewa lake ma boat ride mahango bhayo 😥😢 Negative	Negative
Sarangkot bata view ta khatra ho 🤩😂 Positive	Negative
Lakeside ko coffee shop ma basdai chu 😌Neutral	Negative
Old Bazaar ma shopping karneko chahi 🥺😢 Negative	Negative
Annapurna view ta mahasan chaina 🤩😂 Positive	Negative
World Peace Pagoda herna jada crowd badi thyo 😥😢 Negative	Negative
Matepani ma dinner khailo chahi 😩😂 Negative	Negative
Kahun Danda ma natural beauty ta lagi 🤩😍 Positive	Negative
Begnas lake ma peaceful vibes chahi 😌Neutral	Negative
Davis Falls herna jada crowd badi thyo 😥😢 Negative	Negative
Phewa Lake ma swimming karneke chahi 🏊‍♀️😂 Negative	Negative
Lakeside ma coffee shop ma chill karneke chahi 😌Neutral	Negative
Sarangkot bata sunrise view ta mahasan chaina 🤩😂 Positive	Negative
Pokhara ma street food khailo chahi 😩😂 Negative	Negative
Bindhyabasini Temple herna jada peaceful ho 🤩😂 Positive	Negative
Hemja ma nature walk karneke chahi 😌Neutral	Negative
Kahun Danda ma trekking karneke chahi 🥾😂 Negative	Negative
Phewa Lake ma boat ride expensive ho gaya 🙄	Negative
World Peace Pagoda herna jada crowd badi thyo	Negative
Matepani ka machi khuleko lagi 😂😂😂	Negative
Old Bazaar ko shopping karne mein problem ho gaya	Negative
Kahun Danda view ta amazing ho	Positive	Negative
Begnas Lake ma peaceful ambiance chahe	Neutral	Negative
Annapurna view ta jhankari ho	Positive	Negative
Hemja ka sunrise view ta mast ho	Positive	Negative
Bindhyabasini Temple peaceful atmosphere chahe	Neutral	Negative
